DATETIME,WORKINGGROUP,INPUT_FORMAT_SHORT,INPUT_FORMAT_DESC,INPUT_PROJECT,N_TASKS,N_FILES
2017-02-19,,HITS,,mc15_13TeV,31,80
2017-01-15,phys-higgs,DAOD,HIGGD,mc15_13TeV,167,1467
2017-02-12,,DAOD,SUSY,mc15_13TeV,7517,10013
2017-02-12,,AOD,,mc15_13TeV,837,1704
2021-06-06,,AOD,,mc16_13TeV,113,272
2021-06-06,,DAOD,HIGGD,mc15_13TeV,1,10
2018-11-18,,AOD,,data15_hi,81,81
2019-06-02,,DAOD,TOPQ,mc15_13TeV,19,43
2017-03-19,,AOD,,mc15_13TeV,306,634
2017-02-12,,DAOD,JETM,mc15_13TeV,334,672
2017-07-16,,HITS,,mc15_14TeV,28,32
2017-02-19,,AOD,,mc15_13TeV,1282,2387
2017-08-20,,DAOD,SCTVALID,data16_13TeV,15,15
2017-02-12,phys-higgs,DAOD,HIGGD,data16_13TeV,1767,2193
2017-01-15,,DAOD,EXOT,data16_13TeV,1088,1873
2017-01-29,,DAOD,EXOT,data16_13TeV,2807,2963
2017-03-05,,DAOD,EXOT,mc15_13TeV,1864,2794
2017-01-15,,AOD,,mc12_8TeV,3,3
2017-01-01,phys-higgs,DAOD,TOPQ,mc15_13TeV,22,22
2016-12-25,,,,data15_13TeV,1,1
2017-04-09,det-indet,RDO,,mc16_13TeV,3,3
2017-01-08,,DAOD,EXOT,data16_13TeV,1649,1785
2017-02-26,,DAOD,HIGGD,mc15_13TeV,2295,3405
2017-02-26,,AOD,,mc15_13TeV,422,918
2017-03-12,phys-higgs,DAOD,HIGGD,mc15_13TeV,440,4701
2017-08-20,,DAOD,TRUTH,mc15_14TeV,17,34
2017-01-15,,DAOD,TOPQ,data16_13TeV,180,1197
2017-01-08,,DRAW,RPVLL,data16_13TeV,14,14
2017-01-01,,AOD,,data16_13TeV,138,182
2016-12-25,,DAOD,JETM,mc15_13TeV,52,54
2016-12-25,,DAOD,IDTIDE,mc15_13TeV,3,3
2016-12-25,,NTUP,LHSG,data12_8TeV,9,234
2016-12-25,phys-higgs,DAOD,HIGGD,mc15_13TeV,149,170
2017-01-01,phys-higgs,DAOD,HIGGD,data15_13TeV,324,407
2017-01-08,phys-susy,DAOD,SUSY,data16_13TeV,132,492
2017-01-01,,NTUP,LHSG,data12_8TeV,21,595
2017-01-01,phys-hi,AOD,,data16_hip8TeV,27,27
2017-01-08,,DAOD,RPVLL,data16_13TeV,323,323
2017-01-01,phys-susy,DAOD,SUSY,data16_13TeV,34,394
2017-01-01,phys-susy,DAOD,SUSY,mc15_13TeV,20,24
2017-01-08,det-indet,RDO,,mc15_13TeV,2,2
2017-01-08,,DAOD,IDTIDE,mc15_13TeV,34,34
2017-01-08,,DAOD,TAUP,data16_13TeV,162,162
2017-01-08,,DAOD,RPVLL,mc15_13TeV,21,21
2017-01-08,,AOD,,data16_hip5TeV,8,15
2017-01-15,perf-jets,DAOD,JETM,mc15_13TeV,43,51
2017-01-15,phys-exotics,DAOD,EXOT,data16_13TeV,159,159
2017-01-15,,AOD,,mc15_14TeV,10,16
2017-01-15,,NTUP,TOP,mc11_7TeV,41,54
2017-04-02,,DAOD,SUSY,mc15_13TeV,5449,7669
2017-01-15,,DAOD,JPSIMUMU,data12_8TeV,11,11
2017-01-15,,RDO,,mc15_13TeV,11,21
2017-01-22,,DAOD,EXOT,mc15_13TeV,4388,5736
2017-01-22,,DAOD,HION,data15_hi,11,11
2017-01-22,,NTUP,COMMON,data12_8TeV,17,17
2017-04-16,,DAOD,STDM,data16_13TeV,357,1161
2017-01-22,perf-flavtag,AOD,,mc16_13TeV,12,12
2017-01-22,phys-higgs,DAOD,TOPQ,mc15_13TeV,18,57
2017-01-29,perf-flavtag,AOD,,mc15_13TeV,19,34
2017-01-22,perf-jets,DAOD,JETM,mc15_13TeV,47,56
2017-01-29,,DAOD,SUSY,data15_13TeV,724,2995
2017-02-12,,DAOD,MUON,data15_13TeV,18,207
2017-01-29,,DAOD,MUON,data16_13TeV,6,237
2017-01-29,,DAOD,JETM,data15_13TeV,241,887
2017-01-29,,,,data12_8TeV,2,2
2017-01-29,,DAOD,EXOT,data15_13TeV,763,772
2017-01-29,perf-flavtag,AOD,,mc16_13TeV,7,7
2017-02-05,,DAOD,EXOT,data15_13TeV,841,905
2017-01-29,phys-exotics,EVNT,,mc15_13TeV,40,40
2017-01-29,perf-idtracking,AOD,,data16_13TeV,7,7
2017-02-05,phys-exotics,DAOD,EXOT,mc15_13TeV,48,53
2017-02-05,perf-idtracking,AOD,,data16_13TeV,8,8
2017-01-29,phys-higgs,DAOD,HIGGD,data15_13TeV,129,129
2017-02-19,perf-muons,AOD,,data16_13TeV,3,57
2017-02-05,,DAOD,STDM,data15_13TeV,95,95
2017-02-05,,RDO,,mc14_13TeV,4,4
2017-02-05,phys-exotics,DAOD,TOPQ,data15_13TeV,14,169
2017-02-05,perf-idtracking,DAOD,IDTIDE,mc15_13TeV,25,25
2017-02-12,,DAOD,EXOT,data16_13TeV,3244,4254
2017-02-05,det-indet,,,data16_13TeV,6,6
2017-02-05,,DAOD,LCALO,data16_13TeV,25,25
2017-02-19,,DAOD,SUSY,data15_13TeV,646,4538
2017-02-12,,DAOD,JETM,data15_13TeV,90,195
2017-02-26,,DAOD,TOPQ,mc15_13TeV,3084,4390
2017-02-12,,NTUP,FTKIP,mc12_14TeV,1,1
2017-03-05,,DAOD,STDM,data16_13TeV,344,1318
2017-02-12,phys-higgs,DAOD,TRUTH,mc15_13TeV,13,13
2017-03-05,,DAOD,TOPQ,mc15_13TeV,2465,3894
2017-02-19,,AOD,,mc15_14TeV,26,49
2017-02-19,phys-exotics,DAOD,HIGGD,mc15_13TeV,15,15
2017-03-19,,DAOD,HIGGD,data16_13TeV,1047,1551
