datetime,input_format_short,input_format_desc,input_project,n_tasks
2016-12-26 00:00:00.000000,DAOD,EXOT,mc15_13TeV,65
2016-12-26 00:00:00.000000,EVNT,,mc15_13TeV,2
2016-12-26 00:00:00.000000,DAOD,FTAG,data15_13TeV,8
2016-12-26 00:00:00.000000,DAOD,HIGGD,data16_13TeV,144
2016-12-26 00:00:00.000000,AOD,,data15_hi,17
2016-12-26 00:00:00.000000,DAOD,SUSY,mc15_13TeV,445
2016-12-26 00:00:00.000000,DAOD,JETM,data16_13TeV,4
2016-12-26 00:00:00.000000,DAOD,RPVLL,data16_13TeV,52
2016-12-26 00:00:00.000000,AOD,,data16_13TeV,20
2016-12-26 00:00:00.000000,DAOD,FTAG,mc15_13TeV,9
2016-12-26 00:00:00.000000,DAOD,HIGGD,data15_13TeV,58
2016-12-26 00:00:00.000000,DAOD,TOPQ,data15_13TeV,4
2016-12-26 00:00:00.000000,DAOD,HIGGD,mc15_13TeV,304
2016-12-26 00:00:00.000000,DAOD,MUON,mc15_13TeV,2
2016-12-26 00:00:00.000000,ESD,,mc15_14TeV,2
2016-12-26 00:00:00.000000,AOD,,mc15_13TeV,1
2016-12-26 00:00:00.000000,DAOD,IDTIDE,mc15_13TeV,3
2016-12-26 00:00:00.000000,DRAW,RPVLL,data16_13TeV,4
2016-12-26 00:00:00.000000,DAOD,SUSY,data16_13TeV,72
2016-12-26 00:00:00.000000,NTUP,COMMON,mc12_8TeV,1
2016-12-26 00:00:00.000000,DAOD,JETM,mc15_13TeV,50
2016-12-26 00:00:00.000000,DAOD,TOPQ,mc15_13TeV,32
2016-12-26 00:00:00.000000,DAOD,TOPQ,data16_13TeV,11
2016-12-26 00:00:00.000000,DAOD,STDM,data16_13TeV,45
2016-12-26 00:00:00.000000,DAOD,EGAM,data16_13TeV,3
2016-12-26 00:00:00.000000,NTUP,LHSG,data12_8TeV,1
2016-12-26 00:00:00.000000,DAOD,SUSY,data15_13TeV,7
2016-12-26 00:00:00.000000,DAOD,EXOT,data16_13TeV,24
2016-12-26 00:00:00.000000,DESDM,ZMUMU,data16_13TeV,44
2016-12-26 00:00:00.000000,DAOD,JPSIMUMU,data12_8TeV,2
2016-12-26 00:00:00.000000,NTUP,TAU,mc12_8TeV,1
2016-12-26 00:00:00.000000,DAOD,IDTIDE,data16_13TeV,4
2016-12-26 00:00:00.000000,ESD,,data15_13TeV,2
2016-12-26 00:00:00.000000,DAOD,EXOT,data15_13TeV,5
