ds,y
2018-01-01,294
2018-01-08,1208
2018-01-15,2372
2018-01-22,1245
2018-01-29,818
2018-02-05,557
2018-02-12,1137
2018-02-19,1085
2018-02-26,2219
2018-03-05,1742
2018-03-12,2527
2018-03-19,1639
2018-03-26,3896
2018-04-02,2514
2018-04-09,1193
2018-04-16,2525
2018-04-23,1827
2018-04-30,4168
2018-05-07,2511
2018-05-14,1416
2018-05-21,2625
2018-05-28,1859
2018-06-04,1574
2018-06-11,1295
2018-06-18,1986
2018-06-25,1061
2018-07-02,719
2018-07-09,684
2018-07-16,4431
2018-07-23,1384
2018-07-30,1686
2018-08-06,881
2018-08-13,1208
2018-08-20,1097
2018-08-27,1972
2018-09-03,1613
2018-09-10,893
2018-09-17,1522
2018-09-24,2491
2018-10-01,1386
2018-10-08,1073
2018-10-15,2534
2018-10-22,1008
2018-10-29,2627
2018-11-05,1267
2018-11-12,2268
2018-11-19,3064
2018-11-26,3132
2018-12-03,2141
2018-12-10,4541
2018-12-17,3384
2018-12-24,2521
2018-12-31,4992
2019-01-07,3131
2019-01-14,1914
2019-01-21,5133
2019-01-28,4323
2019-02-04,4213
2019-02-11,3822
2019-02-18,2414
2019-02-25,2115
2019-03-04,2270
2019-03-11,5345
2019-03-18,5419
2019-03-25,3669
2019-04-01,10489
2019-04-08,8922
2019-04-15,5663
2019-04-22,4044
2019-04-29,4403
2019-05-06,13144
2019-05-13,9114
2019-05-20,1109
2019-05-27,8847
2019-06-03,1167
2019-06-10,1254
2019-06-17,4279
2019-06-24,2787
2019-07-01,2276
2019-07-08,6641
2019-07-15,2189
2019-07-22,3480
2019-07-29,3249
2019-08-05,2226
2019-08-12,1173
2019-08-19,1317
2019-08-26,1821
2019-09-02,4751
2019-09-09,487
2019-09-16,3470
2019-09-23,2391
2019-09-30,3559
2019-10-07,4318
2019-10-14,4582
2019-10-21,3827
2019-10-28,3458
2019-11-04,5036
2019-11-11,3773
2019-11-18,6549
2019-11-25,3614
2019-12-02,2380
2019-12-09,1632
2019-12-16,2476
2019-12-23,833
2019-12-30,2338
2020-01-06,2175
2020-01-13,6222
2020-01-20,1557
2020-01-27,3548
2020-02-03,3081
2020-02-10,4409
2020-02-17,2464
2020-02-24,1721
2020-03-02,937
2020-03-09,2164
2020-03-16,1851
2020-03-23,6633
2020-03-30,4179
2020-04-06,4263
2020-04-13,4443
2020-04-20,3782
2020-04-27,6533
2020-05-04,2211
2020-05-11,2491
2020-05-18,3913
2020-05-25,3469
2020-06-01,3495
2020-06-08,5044
2020-06-15,1808
2020-06-22,7515
2020-06-29,5292
2020-07-06,2131
2020-07-13,6288
2020-07-20,1877
2020-07-27,5849
2020-08-03,1921
2020-08-10,1926
2020-08-17,2185
2020-08-24,1679
2020-08-31,1846
2020-09-07,2882
2020-09-14,2263
2020-09-21,5119
2020-09-28,1946
2020-10-05,3999
2020-10-12,4105
2020-10-19,2647
2020-10-26,4669
2020-11-02,2392
2020-11-09,4861
2020-11-16,1982
2020-11-23,7562
2020-11-30,3153
2020-12-07,2397
2020-12-14,2398
2020-12-21,1883
2020-12-28,2449
2021-01-04,920
2021-01-11,2103
2021-01-18,2566
2021-01-25,898
2021-02-01,2614
2021-02-08,3362
2021-02-15,3147
2021-02-22,4064
2021-03-01,7349
2021-03-08,2124
2021-03-15,3088
2021-03-22,2840
2021-03-29,3646
2021-04-05,1704
2021-04-12,2487
2021-04-19,3056
2021-04-26,3670
2021-05-03,6753
2021-05-10,4002
2021-05-17,1195
2021-05-24,1309
2021-05-31,3972
2021-06-07,4166
2021-06-14,1941
2021-06-21,1833
2021-06-28,2049
2021-07-05,1275
2021-07-12,981
2021-07-19,1907
2021-07-26,2236
2021-08-02,410
2021-08-09,418
2021-08-16,1243
2021-08-23,1347
2021-08-30,528
2021-09-06,1795
2021-09-13,1784
2021-09-20,1644
2021-09-27,967
2021-10-04,563
2021-10-11,373
2021-10-18,1857
2021-10-25,8665
2021-11-01,9559
2021-11-08,5758
2021-11-15,6204
2021-11-22,3526
2021-11-29,511
2021-12-06,1391
2021-12-13,2594
2021-12-20,1767
2021-12-27,1867
2022-01-03,2432
2022-01-10,1069
2022-01-17,1816
2022-01-24,4383
2022-01-31,2354
2022-02-07,3169
2022-02-14,781
2022-02-21,2176
2022-02-28,5670
2022-03-07,6929
2022-03-14,3205
2022-03-21,1935
2022-03-28,3868
2022-04-04,3242
2022-04-11,2887
2022-04-18,1838
2022-04-25,3911
2022-05-02,2334
2022-05-09,5424
2022-05-16,2144
2022-05-23,2507
2022-05-30,1882
2022-06-06,781
2022-06-13,1211
2022-06-20,3151
2022-06-27,852
2022-07-04,1258
2022-07-11,1509
2022-07-18,2571
2022-07-25,1936
2022-08-01,500
2022-08-08,882
2022-08-15,792
2022-08-22,620
2022-08-29,1331
2022-09-05,799
2022-09-12,1447
2022-09-19,2417
2022-09-26,885
2022-10-03,864
2022-10-10,785
2022-10-17,66
2022-10-24,739
2022-10-31,2291
2022-11-07,1406
2022-11-14,4123
2022-11-21,3291
2022-11-28,6098
2022-12-05,4843
2022-12-12,2082
2022-12-19,1956
2022-12-26,1266
2023-01-02,350
2023-01-09,977
2023-01-16,1687
2023-01-23,1323
2023-01-30,1735
2023-02-06,805
2023-02-13,218
