ds,y
2018-01-01,102
2018-01-08,694
2018-01-15,1445
2018-01-22,1041
2018-01-29,1315
2018-02-05,1486
2018-02-12,996
2018-02-19,1437
2018-02-26,1029
2018-03-05,2182
2018-03-12,2790
2018-03-19,1696
2018-03-26,1648
2018-04-02,951
2018-04-09,2377
2018-04-16,2098
2018-04-23,1614
2018-04-30,3576
2018-05-07,2493
2018-05-14,3309
2018-05-21,1892
2018-05-28,3425
2018-06-04,3776
2018-06-11,3916
2018-06-18,2785
2018-06-25,2574
2018-07-02,1622
2018-07-09,2567
2018-07-16,1710
2018-07-23,936
2018-07-30,1627
2018-08-06,2428
2018-08-13,3005
2018-08-20,4152
2018-08-27,2533
2018-09-03,2037
2018-09-10,2903
2018-09-17,5331
2018-09-24,3374
2018-10-01,4449
2018-10-08,4153
2018-10-15,3887
2018-10-22,3089
2018-10-29,4901
2018-11-05,6472
2018-11-12,4486
2018-11-19,3350
2018-11-26,4543
2018-12-03,2701
2018-12-10,7932
2018-12-17,3955
2018-12-24,1703
2018-12-31,1913
2019-01-07,5698
2019-01-14,4586
2019-01-21,5594
2019-01-28,10651
2019-02-04,7696
2019-02-11,6513
2019-02-18,5468
2019-02-25,4530
2019-03-04,6402
2019-03-11,4892
2019-03-18,9835
2019-03-25,7324
2019-04-01,4762
2019-04-08,5262
2019-04-15,8684
2019-04-22,21950
2019-04-29,8179
2019-05-06,6803
2019-05-13,11944
2019-05-20,9672
2019-05-27,7597
2019-06-03,5247
2019-06-10,3968
2019-06-17,5514
2019-06-24,3994
2019-07-01,3078
2019-07-08,6157
2019-07-15,6725
2019-07-22,7280
2019-07-29,5233
2019-08-05,3347
2019-08-12,2754
2019-08-19,10754
2019-08-26,5688
2019-09-02,5163
2019-09-09,2617
2019-09-16,3764
2019-09-23,2118
2019-09-30,4397
2019-10-07,3274
2019-10-14,5720
2019-10-21,7510
2019-10-28,3689
2019-11-04,3316
2019-11-11,6191
2019-11-18,5467
2019-11-25,4227
2019-12-02,5181
2019-12-09,841
2019-12-16,1653
2019-12-23,1394
2019-12-30,593
2020-01-06,2804
2020-01-13,5446
2020-01-20,3956
2020-01-27,8060
2020-02-03,6086
2020-02-10,1576
2020-02-17,3393
2020-02-24,3466
2020-03-02,8654
2020-03-09,2146
2020-03-16,1928
2020-03-23,5240
2020-03-30,4302
2020-04-06,4596
2020-04-13,4599
2020-04-20,4215
2020-04-27,5849
2020-05-04,8684
2020-05-11,4013
2020-05-18,3833
2020-05-25,2009
2020-06-01,2233
2020-06-08,2018
2020-06-15,3940
2020-06-22,4786
2020-06-29,4126
2020-07-06,5215
2020-07-13,3548
2020-07-20,1744
2020-07-27,5060
2020-08-03,3945
2020-08-10,1516
2020-08-17,2738
2020-08-24,1267
2020-08-31,12099
2020-09-07,2830
2020-09-14,3531
2020-09-21,2315
2020-09-28,3775
2020-10-05,5635
2020-10-12,6323
2020-10-19,7717
2020-10-26,5369
2020-11-02,1421
2020-11-09,2735
2020-11-16,5126
2020-11-23,1981
2020-11-30,2338
2020-12-07,2471
2020-12-14,5544
2020-12-21,4136
2020-12-28,16734
2021-01-04,18975
2021-01-11,2853
2021-01-18,7606
2021-01-25,3958
2021-02-01,11952
2021-02-08,9852
2021-02-15,14850
2021-02-22,18395
2021-03-01,26037
2021-03-08,24056
2021-03-15,8575
2021-03-22,7292
2021-03-29,14977
2021-04-05,6719
2021-04-12,6697
2021-04-19,7938
2021-04-26,6998
2021-05-03,5385
2021-05-10,598
2021-05-17,5870
2021-05-24,1988
2021-05-31,545
2021-06-07,19854
2021-06-14,30853
2021-06-21,13224
2021-06-28,2073
2021-07-05,2254
2021-07-12,1786
2021-07-19,2771
2021-07-26,3726
2021-08-02,2388
2021-08-09,1292
2021-08-16,855
2021-08-23,1347
2021-08-30,2095
2021-09-06,3645
2021-09-13,1425
2021-09-20,719
2021-09-27,457
2021-10-04,1770
2021-10-11,1021
2021-10-18,1231
2021-10-25,423
2021-11-01,383
2021-11-08,810
2021-11-15,1253
2021-11-22,1386
2021-11-29,1757
2021-12-06,1844
2021-12-13,937
2021-12-20,2768
2021-12-27,877
2022-01-03,412
2022-01-10,1229
2022-01-17,561
2022-01-24,725
2022-01-31,325
2022-02-07,335
2022-02-14,1038
2022-02-21,2127
2022-02-28,269
2022-03-07,287
2022-03-14,339
2022-03-21,641
2022-03-28,268
2022-04-04,894
2022-04-11,3240
2022-04-18,286
2022-04-25,730
2022-05-02,143
2022-05-09,3958
2022-05-16,1002
2022-05-23,753
2022-05-30,477
2022-06-06,420
2022-06-13,65
2022-06-20,1290
2022-06-27,679
2022-07-04,97
2022-07-11,32
2022-07-18,823
2022-07-25,183
2022-08-01,486
2022-08-08,1388
2022-08-15,672
2022-08-22,908
2022-08-29,197
2022-09-05,992
2022-09-12,1179
2022-09-19,1746
2022-09-26,1067
2022-10-03,1983
2022-10-10,854
2022-10-17,61
2022-10-24,278
2022-10-31,248
2022-11-07,1977
2022-11-14,263
2022-11-21,1051
2022-11-28,899
2022-12-05,277
2022-12-12,557
2022-12-19,416
2022-12-26,723
2023-01-02,514
2023-01-09,652
2023-01-16,443
2023-01-23,790
2023-01-30,2472
2023-02-06,907
2023-02-13,775
