ds,y
2018-01-01,239
2018-01-08,332
2018-01-15,750
2018-01-22,1582
2018-01-29,2189
2018-02-05,1256
2018-02-12,986
2018-02-19,1146
2018-02-26,1450
2018-03-05,702
2018-03-12,3385
2018-03-19,1951
2018-03-26,798
2018-04-02,834
2018-04-09,1392
2018-04-16,1666
2018-04-23,1013
2018-04-30,758
2018-05-07,1586
2018-05-14,2010
2018-05-21,2264
2018-05-28,2440
2018-06-04,1337
2018-06-11,832
2018-06-18,1227
2018-06-25,436
2018-07-02,378
2018-07-09,1328
2018-07-16,668
2018-07-23,2769
2018-07-30,702
2018-08-06,491
2018-08-13,178
2018-08-20,1020
2018-08-27,1211
2018-09-03,805
2018-09-10,865
2018-09-17,934
2018-09-24,1838
2018-10-01,1413
2018-10-08,1152
2018-10-15,755
2018-10-22,1443
2018-10-29,1690
2018-11-05,1623
2018-11-12,1373
2018-11-19,1899
2018-11-26,2124
2018-12-03,1259
2018-12-10,1806
2018-12-17,1824
2018-12-24,2050
2018-12-31,1096
2019-01-07,2128
2019-01-14,2008
2019-01-21,2183
2019-01-28,3154
2019-02-04,1550
2019-02-11,921
2019-02-18,1494
2019-02-25,1613
2019-03-04,2255
2019-03-11,1385
2019-03-18,1765
2019-03-25,1211
2019-04-01,2032
2019-04-08,1558
2019-04-15,1506
2019-04-22,1961
2019-04-29,2281
2019-05-06,1414
2019-05-13,1080
2019-05-20,1662
2019-05-27,5061
2019-06-03,3646
2019-06-10,2083
2019-06-17,2020
2019-06-24,2559
2019-07-01,2664
2019-07-08,2228
2019-07-15,1105
2019-07-22,3288
2019-07-29,1658
2019-08-05,2677
2019-08-12,4772
2019-08-19,3436
2019-08-26,3205
2019-09-02,1453
2019-09-09,2266
2019-09-16,1588
2019-09-23,1643
2019-09-30,422
2019-10-07,2017
2019-10-14,1246
2019-10-21,1099
2019-10-28,2441
2019-11-04,1588
2019-11-11,2227
2019-11-18,2509
2019-11-25,1950
2019-12-02,1940
2019-12-09,1069
2019-12-16,2423
2019-12-23,2857
2019-12-30,1173
2020-01-06,1325
2020-01-13,1198
2020-01-20,1057
2020-01-27,1060
2020-02-03,1716
2020-02-10,865
2020-02-17,1246
2020-02-24,1649
2020-03-02,1915
2020-03-09,1298
2020-03-16,1594
2020-03-23,2233
2020-03-30,3045
2020-04-06,2373
2020-04-13,2557
2020-04-20,1789
2020-04-27,2772
2020-05-04,2858
2020-05-11,1338
2020-05-18,751
2020-05-25,1537
2020-06-01,1030
2020-06-08,340
2020-06-15,1600
2020-06-22,2160
2020-06-29,2868
2020-07-06,3495
2020-07-13,1121
2020-07-20,1033
2020-07-27,2062
2020-08-03,1885
2020-08-10,1805
2020-08-17,1383
2020-08-24,2688
2020-08-31,3140
2020-09-07,2885
2020-09-14,3540
2020-09-21,2230
2020-09-28,1514
2020-10-05,2843
2020-10-12,2241
2020-10-19,1364
2020-10-26,3525
2020-11-02,3457
2020-11-09,3685
2020-11-16,2119
2020-11-23,1176
2020-11-30,1509
2020-12-07,1614
2020-12-14,2539
2020-12-21,2708
2020-12-28,2821
2021-01-04,1100
2021-01-11,659
2021-01-18,1018
2021-01-25,1631
2021-02-01,1295
2021-02-08,1716
2021-02-15,1926
2021-02-22,2371
2021-03-01,3006
2021-03-08,1272
2021-03-15,3033
2021-03-22,3504
2021-03-29,3893
2021-04-05,1423
2021-04-12,5121
2021-04-19,2515
2021-04-26,2974
2021-05-03,3034
2021-05-10,2765
2021-05-17,3144
2021-05-24,2567
2021-05-31,2310
2021-06-07,2635
2021-06-14,2136
2021-06-21,2049
2021-06-28,1835
2021-07-05,1563
2021-07-12,2210
2021-07-19,1880
2021-07-26,1154
2021-08-02,1377
2021-08-09,2179
2021-08-16,804
2021-08-23,1477
2021-08-30,2239
2021-09-06,4099
2021-09-13,1601
2021-09-20,1887
2021-09-27,865
2021-10-04,2039
2021-10-11,1893
2021-10-18,2955
2021-10-25,3791
2021-11-01,3103
2021-11-08,3360
2021-11-15,1754
2021-11-22,2305
2021-11-29,2433
2021-12-06,968
2021-12-13,3664
2021-12-20,3450
2021-12-27,2126
2022-01-03,2513
2022-01-10,1129
2022-01-17,1635
2022-01-24,2063
2022-01-31,1374
2022-02-07,2572
2022-02-14,2912
2022-02-21,1823
2022-02-28,1018
2022-03-07,1572
2022-03-14,1574
2022-03-21,2747
2022-03-28,1340
2022-04-04,2184
2022-04-11,3161
2022-04-18,1395
2022-04-25,1465
2022-05-02,3780
2022-05-09,2012
2022-05-16,1992
2022-05-23,2006
2022-05-30,2021
2022-06-06,1611
2022-06-13,1328
2022-06-20,1730
2022-06-27,3520
2022-07-04,2048
2022-07-11,2071
2022-07-18,957
2022-07-25,2711
2022-08-01,1056
2022-08-08,796
2022-08-15,594
2022-08-22,1275
2022-08-29,3054
2022-09-05,600
2022-09-12,1016
2022-09-19,1235
2022-09-26,1623
2022-10-03,1355
2022-10-10,2079
2022-10-17,512
2022-10-24,2951
2022-10-31,3416
2022-11-07,1517
2022-11-14,1062
2022-11-21,1374
2022-11-28,1596
2022-12-05,1970
2022-12-12,1667
2022-12-19,1014
2022-12-26,1845
2023-01-02,1387
2023-01-09,1278
2023-01-16,2134
2023-01-23,3901
2023-01-30,3166
2023-02-06,1428
2023-02-13,1882
